ss_id	ss_name	ss_lat	ss_long
456	ОАО Моторостроитель	53.206243	50.275036
457	Заводское шоссе	53.206650	50.277665
458	Заводское шоссе	53.206746	50.278255
459	Профтехучилище	53.204124	50.280519
460	Профтехучилище	53.203970	50.281410
461	Проходная ОАО Моторостроитель	53.202481	50.282460
462	Проходная ОАО Моторостроитель	53.202294	50.283287
463	ул.Береговая	53.199460	50.285894
464	ул.Береговая	53.199034	50.287031
466	Завод Экран	53.195719	50.290667
467	ул.XXII Партсъезда	53.213218	50.229543
468	ул.Пугачевская	53.228852	50.274215
469	Парк Гагарина	53.225288	50.198167
470	Завод Экран	53.195700	50.290287
471	ул.XXII Партсъезда	53.213111	50.230105
472	ул.Калинина	53.220974	50.247389
473	Автостанция Вольская	53.224501	50.256047
474	Клуб Мир	53.207070	50.275440
475	ул.Кабельная	53.202565	50.264807
476	Госбанк	53.199468	50.257292
477	Станция метро Победа	53.206463	50.235721
478	ул.Ивана Булкина	53.211723	50.192744
479	ул.Ивана Булкина	53.211898	50.194371
480	ул.Карбышева	53.211938	50.201499
481	ул.Карбышева	53.212169	50.201977
482	Педуниверситет	53.212219	50.209933
483	Педуниверситет	53.212351	50.210078
484	Телецентр	53.229170	50.192946
485	Телецентр	53.228547	50.193558
486	ул.Красных Коммунаров	53.204141	50.238617
487	Кинотеатр Самара	53.247333	50.241057
488	Кинотеатр Самара	53.247012	50.239603
489	пр.Кирова	53.244887	50.232892
490	пр.Кирова	53.245061	50.233617
491	Поликлиника № 6	53.243308	50.229540
492	Поликлиника № 6	53.243324	50.229894
493	ул.Воронежская	53.238556	50.227050
494	ул.Воронежская	53.239109	50.227501
495	Магазин Мебель	53.228248	50.205590
496	Магазин Мебель	53.228124	50.205762
497	Парк Гагарина	53.225932	50.200950
498	Химчистка	53.201962	50.144269
499	Химчистка	53.201917	50.144473
500	ул.Клиническая	53.199680	50.138846
501	ул.Ново-Садовая	53.233120	50.187974
502	ул.Клиническая	53.198954	50.137398
503	ул.Владимирская-Международный институт рынка	53.197421	50.133685
504	ул.Владимирская-Международный институт рынка	53.196807	50.131757
505	ул.Ново-Садовая	53.233782	50.186804
506	Комплекс профилакториев	53.235280	50.184792
507	Комплекс профилакториев	53.234924	50.185023
508	ул.Степана Разина	53.181653	50.082038
509	ул.Киевская	53.203451	50.150523
510	Дачное управление	53.240655	50.177738
511	Дачное управление	53.240689	50.177435
512	Пионерлагерь Ракета	53.242981	50.174418
513	Пионерлагерь Ракета	53.242990	50.174147
514	Магазин	53.244578	50.173465
515	Магазин	53.244695	50.173328
516	НФС	53.247099	50.174099
518	Автостанция Вольская	53.225282	50.255416
519	Медтехника	53.187558	50.198344
520	Медтехника	53.187667	50.198012
521	ул.Партизанская	53.187352	50.205967
522	ул.Партизанская	53.186998	50.205769
523	ул.Витебская	53.185516	50.203108
524	ул.Витебская	53.184497	50.201933
525	ул.Каменногорская	53.182929	50.199224
526	ул.Каменногорская	53.182045	50.198178
527	ул.Авроры	53.179187	50.191371
528	ул.Авроры	53.179630	50.193382
529	Сельхозтехника	53.177955	50.187092
530	Сельхозтехника	53.177653	50.186770
531	ул.Луганская	53.175528	50.179070
532	ул.Луганская	53.175451	50.179279
533	ул.Уфимская	53.174017	50.173942
534	ул.Уфимская	53.173862	50.173872
535	Школа № 18	53.175856	50.170836
536	Школа № 18	53.175248	50.171013
537	Магазин	53.178193	50.168863
538	Магазин	53.178026	50.168703
539	Автосервис	53.181556	50.165065
540	Автосервис	53.182845	50.163256
541	Кинотеатр Искра	53.185799	50.159812
542	Шиноремонтный завод	53.184443	50.156438
543	Шиноремонтный завод	53.184311	50.156545
544	ул.Горная	53.184475	50.149509
545	ул.Горная	53.184649	50.148756
546	ул.Пятигорская	53.186615	50.139456
547	ул.Пятигорская	53.186709	50.138805
548	ул.Красноармейская	53.189589	50.130635
549	Крымская площадь	53.189502	50.130914
550	Железнодорожный вокзал	53.188159	50.122685
551	Железнодорожный вокзал	53.187762	50.123867
552	Железнодорожный вокзал (стоянка)	53.187009	50.118634
553	Поликлиника (высадка)	53.187367	50.118558
554	Автостанция Аврора	53.191668	50.188985
555	Автостанция Аврора	53.191565	50.190154
556	ул.Осипенко (Ст.м.Алабинская)	53.210045	50.132653
557	ул.Спортивная	53.188451	50.122565
