rc_id	rl_id	ss_id	rc_orderby	rc_dist
366605	3666	214	5	0.183000
366606	3666	752	6	0.786926
366607	3666	518	7	0.612772
366608	3666	161	8	0.664570
366609	3666	159	9	0.375809
366610	3666	157	10	0.440561
366611	3666	155	11	0.490212
366612	3666	153	12	0.278269
366613	3666	490	13	0.480728
366614	3666	488	14	0.709888
366615	3666	123	15	0.529606
366616	3666	121	16	0.351000
366617	3666	692	17	0.325458
366618	3666	691	18	0.357000
366619	3666	730	19	0.000000
376501	3765	720	1	0.387000
376502	3765	173	2	0.434000
376503	3765	171	3	0.417000
376504	3765	169	4	0.381000
376505	3765	167	5	0.508000
376506	3765	165	6	0.566000
376507	3765	473	7	0.834000
376508	3765	213	8	0.444000
376509	3765	206	9	0.302000
376510	3765	657	10	0.501000
376511	3765	571	11	0.377000
376512	3765	573	12	0.376000
376513	3765	575	13	0.392000
376514	3765	758	14	0.406000
376515	3765	759	15	0.559000
376516	3765	761	16	0.470000
376517	3765	763	17	0.777000
376518	3765	765	18	0.369000
376519	3765	767	19	0.695000
376520	3765	769	20	0.595000
376521	3765	771	21	0.339000
376522	3765	416	22	0.602000
376523	3765	417	23	0.559000
376524	3765	1370	24	0.902000
376525	3765	1795	25	0.892000
376526	3765	35	26	0.777000
376527	3765	421	27	0.906000
376528	3765	773	28	0.923000
376529	3765	775	29	0.357000
376530	3765	1218	30	0.426000
376531	3765	1879	31	0.387000
376532	3765	779	32	0.313000
376533	3765	781	33	0.558000
376534	3765	783	34	0.396000
376535	3765	785	35	0.457000
376536	3765	786	36	0.000000
376601	3766	786	1	0.431000
376602	3766	784	2	0.470000
376603	3766	782	3	0.293000
376604	3766	780	4	0.619000
376605	3766	777	5	0.368000
376606	3766	1219	6	0.408000
376607	3766	778	7	0.720000
376608	3766	774	8	0.864000
376609	3766	772	9	0.263000
376610	3766	1313	10	0.544000
376611	3766	45	11	0.829000
376612	3766	46	12	1.054000
376613	3766	420	13	0.745000
376614	3766	418	14	0.592000
376615	3766	436	15	0.408000
376616	3766	737	16	0.712000
376617	3766	770	17	0.471000
376618	3766	768	18	0.376000
376619	3766	766	19	0.729000
376620	3766	764	20	0.519000
376621	3766	762	21	0.524000
376622	3766	760	22	0.605000
376623	3766	654	23	0.346000
376624	3766	576	24	0.391000
376625	3766	574	25	0.353000
376626	3766	655	26	0.504000
376627	3766	656	27	0.843000
376628	3766	752	28	0.779000
376629	3766	216	29	0.394000
376630	3766	164	30	0.566000
376631	3766	166	31	0.364000
376632	3766	168	32	0.431000
376633	3766	170	33	0.449000
376634	3766	172	34	0.423000
376635	3766	721	35	0.226000
376636	3766	720	36	0.000000
406501	4065	474	1	0.987000
406502	4065	878	2	0.904000
406503	4065	880	3	0.843000
406504	4065	837	4	0.041000
406505	4065	1376	5	0.000000
406601	4066	1376	1	0.842000
406602	4066	881	2	0.388000
406603	4066	879	3	0.901000
406604	4066	456	4	0.199000
406605	4066	474	5	0.000000
406701	4067	470	1	0.109000
406702	4067	466	2	0.455000
406703	4067	464	3	0.454000
406704	4067	462	4	0.232000
406705	4067	460	5	0.386000
406706	4067	458	6	0.527000
406707	4067	210	7	1.162000
406708	4067	214	8	0.183000
406709	4067	752	9	0.918000
406710	4067	162	10	0.481000
406711	4067	161	11	0.665000
406712	4067	159	12	0.376000
406713	4067	157	13	0.441000
406714	4067	155	14	0.490000
406715	4067	153	15	0.442000
406716	4067	152	16	0.000000
406801	4068	152	1	0.459000
406802	4068	154	2	0.344000
406803	4068	156	3	0.541000
406804	4068	158	4	0.600000
406805	4068	160	5	0.706000
406806	4068	473	6	0.840000
406807	4068	207	7	1.179000
406808	4068	209	8	0.521000
406809	4068	457	9	0.351000
406810	4068	459	10	0.231000
406811	4068	461	11	0.419000
406812	4068	463	12	0.526000
406813	4068	470	13	0.000000
406901	4069	456	1	0.231000
406902	4069	457	2	0.351000
406903	4069	459	3	0.231000
406904	4069	461	4	0.419000
406905	4069	463	5	0.526000
406906	4069	470	6	0.000000
407001	4070	470	1	0.109000
407002	4070	466	2	0.455000
407003	4070	464	3	0.454000
407004	4070	462	4	0.232000
407005	4070	460	5	0.386000
407006	4070	458	6	0.297000
407007	4070	474	7	0.987000
407008	4070	878	8	0.392000
407009	4070	880	9	0.843000
407010	4070	837	10	0.041000
407011	4070	1376	11	0.846000
407012	4070	881	12	0.388000
407013	4070	879	13	0.889000
407014	4070	456	14	0.000000
407101	4071	970	1	0.590000
407102	4071	654	2	0.346000
407103	4071	576	3	0.391000
407104	4071	574	4	0.353000
407105	4071	655	5	0.535000
407106	4071	225	6	0.497000
407107	4071	203	7	0.482000
407108	4071	218	8	0.731000
407109	4071	162	9	0.481000
407110	4071	161	10	0.665000
407111	4071	159	11	0.376000
407112	4071	157	12	0.441000
407113	4071	155	13	0.490000
407114	4071	153	14	0.474000
407115	4071	152	15	0.000000
407201	4072	152	1	0.459000
407202	4072	154	2	0.344000
407203	4072	156	3	0.541000
407204	4072	158	4	0.600000
407205	4072	160	5	0.706000
407206	4072	473	6	0.834000
407207	4072	213	7	0.444000
